ชื่อกลยุทธ์,หมวด,ลักษณะ,ตัวอย่างสถานการณ์,สาเหตุที่เกี่ยวข้องกับกลยุทธ์
โยนกระเบื้องล่อหยก,เข้าตี,การใช้สิ่งหรือบุคคลที่ดูมีค่าหลอกล่อศัตรูให้โฟกัสทรัพยากรหรือกำลังไปยังเป้าหมายปลอม จากนั้นจึงส่งกำลังลับเข้าตีกลุ่มกำลังจริงที่อ่อนแอกว่าและจับเป็นเชลยหรือทำลายได้ง่าย,แม่ทัพเราแลกตัวทหารรับใช้ฝีมืออ่อนส่งให้ศัตรูเชื่อว่าเป็นที่ปรึกษาหลัก เมื่อศัตรูคลายกำลังไปคุ้มครอง เข้าปรึกษา เราจึงส่งหน่วยจู่โจมลับเข้าโจมตีแหล่งเสบียงหลักจนแตกพ่าย,ศัตรูสนใจ “ที่ปรึกษา” ปลอม จึงกระจายกำลังไปคุ้มครอง เปิดช่องให้หน่วยลับเข้าตัดเสบียงและทำลายกำลังสำรองได้ง่าย
โยนกระเบื้องล่อหยก,เข้าตี,การใช้สิ่งหรือบุคคลที่ดูมีค่าหลอกล่อศัตรูให้โฟกัสทรัพยากรหรือกำลังไปยังเป้าหมายปลอม จากนั้นจึงส่งกำลังลับเข้าตีกลุ่มกำลังจริงที่อ่อนแอกว่าและจับเป็นเชลยหรือทำลายได้ง่าย,กองเรือเรานำเรือลำเล็กที่บรรทุกสุราชั้นดีให้ศัตรูเห็น คิดว่าเป็นขบวนส่งเสบียงหลัก ขณะที่พวกเขาเสริมกำลังรับมือ ทัพเรือลับลำใหญ่ก็อ้อมเข้าไปยึดคลังเสบียงบนฝั่ง และตัดเสบียงทำให้เรือหลักแตกกระเจิง,ศัตรูโฟกัส “สุราชั้นดี” ปลอม ว่าจะเป็นขบวนหลัก จึงแบ่งกำลังรับมือ เปิดโอกาสให้เรือลับเข้าตัดคลังเสบียงและสังหารเวรยาม
โยนกระเบื้องล่อหยก,เข้าตี,การใช้สิ่งหรือบุคคลที่ดูมีค่าหลอกล่อศัตรูให้โฟกัสทรัพยากรหรือกำลังไปยังเป้าหมายปลอม จากนั้นจึงส่งกำลังลับเข้าตีกลุ่มกำลังจริงที่อ่อนแอกว่าและจับเป็นเชลยหรือทำลายได้ง่าย,แม่ทัพส่งหุ่นสวมเครื่องหมาย “ธงเอก” เดินช้าๆ ผ่านหน้าป้อมศัตรู ฝ่ายนั้นส่งกำลังคุมเข้มตามหาตัวธงเอก จนทิ้งแนวหลังไว้บางส่วน กำลังลาดตระเวนลับของเราจึงเข้ายึดป้อมย่อยและเปิดทางให้กำลังหลักบุกเข้ายึดป้อมหลักภายในค่ำคืน,ศัตรูเข้าใจว่าธงเอกเป็นผู้นำตัวจริง จึงเสริมกำลังรับมือหุ่น เปิดช่องให้ลาดตระเวนลับเข้ายึดป้อมย่อยและส่งสัญญาณให้กำลังหลักยกซ้ำ
โยนกระเบื้องล่อหยก,เข้าตี,การใช้สิ่งหรือบุคคลที่ดูมีค่าหลอกล่อศัตรูให้โฟกัสทรัพยากรหรือกำลังไปยังเป้าหมายปลอม จากนั้นจึงส่งกำลังลับเข้าตีกลุ่มกำลังจริงที่อ่อนแอกว่าและจับเป็นเชลยหรือทำลายได้ง่าย,เราปล่อยข่าวว่ามีคลังทองคำซุกซ่อนไว้ในป่าหลังกำแพง ฝ่ายศัตรูจึงส่งหน่วยสำรวจและชิงตัวบ่อน้ำทองแดงมาเป็นเครื่องมือเจรจา ขณะเดียวกันหน่วยลาดตระเวนลับของเราลัดผ่านซากหินเข้าตัดกำลังป้อมหน้า จนสามารถล้อมป้อมหลักและยึดเมืองได้ในการโจมตีครั้งเดียว,ข่าวคลังทองคำหลอก ทำให้ศัตรูย้ายพลไปสำรวจป่ารกร้าง เปิดช่องให้กำลังลาดตระเวนลับเข้าตัดกำลังป้อมหน้าและเปิดทางให้กำลังหลักโจมตีป้อมหลัก
โยนกระเบื้องล่อหยก,เข้าตี,การใช้สิ่งหรือบุคคลที่ดูมีค่าหลอกล่อศัตรูให้โฟกัสทรัพยากรหรือกำลังไปยังเป้าหมายปลอม จากนั้นจึงส่งกำลังลับเข้าตีกลุ่มกำลังจริงที่อ่อนแอกว่าและจับเป็นเชลยหรือทำลายได้ง่าย,แม่ทัพส่งข่าวลือว่ามีกลุ่มทหารรับจ้างพละกำลังสูงซุ่มอยู่ภูเขาตะวันตก ฝ่ายศัตรูจึงเสริมกำลังขึ้นเขา เมื่อเขาส่งพลไปแล้ว กองทหารเราลับก็ลัดผ่านช่องเขาทิศใต้เข้าจู่โจมค่ายหลักจนแตกพ่าย พร้อมกับเผาฐานยุทโธปกรณ์ก่อนกองกำลังเสริมจะมาถึง,ข่าวกลุ่มทหารรับจ้างหลอก ทำให้ศัตรูกระจายกำลังรับขึ้นเขา เปิดโอกาสให้ทหารเราลับลัดผ่านช่องโหว่ใต้เขาเข้าถล่มค่ายหลัก
จับโจรเอาหัวโจก,เข้าตี,"หมายถึงการทำศึกสงคราม จักต้องบุกเข้าโจมตีศัตรูในจุดที่เป็นยุทธศาสตร์ของกองทัพ เพื่อสลายกำลังของศัตรูให้แตกกระจาย ศัตรูที่มีแม่ทัพฝีมือดีในการทำศึกสงครามย่อมเป็นขวัญและกำลังใจของเหล่าทหาร การวางแผนใช้กลอุบายหลอกล่อเอาชนะแม่ทัพที่มีฝีมือในเชิงยุทธ์ที่เก่งกาจจักต้องกลอุบายที่สับสน หลอกล่อให้หลงทิศและขจัดเสียให้พ้นเสมือน ""มังกรสู่บนบุปผี อับจนหมดหนทาง"" ซึ่งเปรียบประหนึ่งดุจมังกรในท้องทะเล อาจหาญขึ้นมาต่อสู้ศัตรูบนพื้นดิน ย่อมได้รับความปราชัยศัตรูได้โดยง่าย",การนำเอากลยุทธ์จับโจรเอาหัวโจกไปใช้ได้แก่ ขงเบ้งที่มีความเกรงเกรงต่อสุมาอี้ ในการทำศึกสงครามกับวุยก๊กจึงวางกลอุบายขจัดสุมาอี้ เมื่อปราศจากสุมาอี้แล้ว ขงเบ้งก็ไม่เกรงกลัวต่อความยิ่งใหญ่ของกองทัพวุยก๊กอีกต่อไป,ในสถานการณ์นี้ ขงเบ้งได้นำกลยุทธ์ “จับโจรเอาหัวโจก” มาใช้โดยการล่อให้สุมาอี้ซึ่งเป็นแม่ทัพผู้เก่งกาจของวุยก๊กหลงเชื่อว่าขงเบ้งกำลังอ่อนกำลัง จึงยกทัพเข้าปะทะบริเวณช่องเขาสำคัญของจ๊กก๊ก เมื่อสุมาอี้เสด็จออกนำกำลังพลหน้างาน ขงเบ้งจึงใช้กำลังเบาอีกชุดหนึ่งลอบซุ่มในคูเมืองฝั่งตรงข้าม รอจังหวะให้สุมาอี้เดินนำกำลังเข้ามาถึงจุดยุทธศาสตร์นั้นแล้วจึงโอบล้อมทันที โดยสั่งให้กองหน้าตีกลองส่งเสียงกึกก้องเพื่อกดดันขวัญกำลังใจ เมื่อสุมาอี้เห็นว่าถูกล้อมโดยกองกำลังที่ไม่รู้จุดยืน ก็ถูกดึงเข้าไปในกับดักจนถูกโอบล้อมและจับตัวได้ในที่สุด การขจัด “หัวโจก” อย่างสุมาอี้ได้โดยไม่ต้องเผชิญหน้ากองทัพหลักของวุยก๊ก ช่วยให้ปฏิบัติการรบครั้งนั้นสำเร็จลุล่วงด้วยดีตามหลักของ “จับโจรเอาหัวโจก” อย่างแท้จริง
จับโจรเอาหัวโจก,เข้าตี,การบุกโจมตีโดยตรงไปยังจุดยุทธศาสตร์ที่เป็นที่ตั้งของแม่ทัพหรือผู้นำสำคัญ เพื่อกำจัดผู้นำคนนั้นให้สิ้นซาก เมื่อศัตรูสูญเสียหัวหน้าที่มีฝีมือแล้ว กำลังใจและการประสานงานทั้งกองทัพจะสั่นคลอน เปิดทางให้ฝ่ายตนบุกเก็บชัยชนะได้ง่าย,ขงเบ้งส่งหน่วยจู่โจมลับอำพรางเป็นกองเสบียงล่อให้สุมาอี้ออกมาบริเวณสะพานไม้แคบ เมื่อสุมาอี้ยกพลตามมา เหล่าทหารลับจึงปิดสะพาน ทำให้สุมาอี้ติดกับ ดั้นด้นสู้เพื่อฝ่าหนีสุดกำลัง ก่อนจะถูกโอบล้อมและสังหารกลางสะพานนั้น,การจัดกับสุมาอี้ที่เป็นแม่ทัพหลัก ทำให้กองทัพวุยก๊กขาดผู้นำสำคัญ จิตใจแตกสลาย กองกำลังแตกกระเจิงและเสียสมาธิในการรบต่อ
จับโจรเอาหัวโจก,เข้าตี,การบุกโจมตีโดยตรงไปยังจุดยุทธศาสตร์ที่เป็นที่ตั้งของแม่ทัพหรือผู้นำสำคัญ เพื่อกำจัดผู้นำคนนั้นให้สิ้นซาก เมื่อศัตรูสูญเสียหัวหน้าที่มีฝีมือแล้ว กำลังใจและการประสานงานทั้งกองทัพจะสั่นคลอน เปิดทางให้ฝ่ายตนบุกเก็บชัยชนะได้ง่าย,เล่าปี่ทราบว่าผู่เชิงเป็นผู้นำด้านกำลังเสบียง จึงปล่อยข่าวลือว่าตนจะยกทัพเลียบทะเลสาบ ผู่เชิงจึงยกกำลังรักษาแนวชายฝั่ง บริวณนั้นพลทหารของเล่าปี่จึงอ้อมเข้าไปทำการซุ่มโจมตีคลังเสบียงของผู่เชิง แล้วรวบตัวผู่เชิงมัดกลับไปยังลานสนามรบก่อนล้อมฆ่าทิ้ง,การโจมตีเป้าหมายที่เป็นศูนย์กลางเสบียง ทำให้ศัตรูขาดทรัพยากรหลักและสูญเสียแม่ทัพคุมเสบียง สภาพศึกจึงพินาศเนื่องจากขาดทั้งอาหารและผู้นำ
จับโจรเอาหัวโจก,เข้าตี,การบุกโจมตีโดยตรงไปยังจุดยุทธศาสตร์ที่เป็นที่ตั้งของแม่ทัพหรือผู้นำสำคัญ เพื่อกำจัดผู้นำคนนั้นให้สิ้นซาก เมื่อศัตรูสูญเสียหัวหน้าที่มีฝีมือแล้ว กำลังใจและการประสานงานทั้งกองทัพจะสั่นคลอน เปิดทางให้ฝ่ายตนบุกเก็บชัยชนะได้ง่าย,ซุนกวนทราบว่าหลางเจี้ยวเป็นแม่ทัพเวรยามแนวหน้า จึงส่งทีมสไนเปอร์ลับขึ้นคุมยอดเขาใกล้ป้อม ให้เน้นยิงหลางเจี้ยว เมื่อหลางเจี้ยวบาดเจ็บและถอยหลังก็ตกเป็นเป้าล้อมทัพ และถูกจับเป็นเชลยจากกำลังรับเสริมที่ถอยร่นไม่ทัน,การกำจัดหลางเจี้ยวซึ่งเป็นเวรยามแนวหน้าลดการป้องกันให้กับป้อมหลัก ทำให้ศัตรูประมาทและแตกกระจายเนื่องจากขาดแม่ทัพควบคุมแนวรับ
จับโจรเอาหัวโจก,เข้าตี,การบุกโจมตีโดยตรงไปยังจุดยุทธศาสตร์ที่เป็นที่ตั้งของแม่ทัพหรือผู้นำสำคัญ เพื่อกำจัดผู้นำคนนั้นให้สิ้นซาก เมื่อศัตรูสูญเสียหัวหน้าที่มีฝีมือแล้ว กำลังใจและการประสานงานทั้งกองทัพจะสั่นคลอน เปิดทางให้ฝ่ายตนบุกเก็บชัยชนะได้ง่าย,ขงเบ้งปล่อยข่าวว่าตนจะมุ่งตรงมายังกำแพงเมืองตอนเช้า เวลารุ่งสางทหารจ๊กก๊กจึงระดมกำลังที่ประตูหลักทั้งหมด ขงเบ้งกลับซุ่มหน่วยม้าเบาเข้าเชือดแม่ทัพป้อมหลังขณะยังตั้งเวรยามน้อย ทำให้เมื่อเวรยามแตกกระจาย ขงเบ้งจึงยกพลขึ้นยึดกำแพงเมืองและป้อมหลังได้ในพริบตา,การโจมตีแม่ทัพป้อมหลังขณะที่กำลังหลักถูกเบี่ยงไปยังประตูหลัก ทำให้ขงเบ้งสามารถฉกจุดยุทธศาสตร์สำคัญและทำให้เมืองเปิดรับพลเรือยกเข้ายึดได้ทันที
จับโจรเอาหัวโจก,เข้าตี,การบุกโจมตีโดยตรงไปยังจุดยุทธศาสตร์ที่เป็นที่ตั้งของแม่ทัพหรือผู้นำสำคัญ เพื่อกำจัดผู้นำคนนั้นให้สิ้นซาก เมื่อศัตรูสูญเสียหัวหน้าที่มีฝีมือแล้ว กำลังใจและการประสานงานทั้งกองทัพจะสั่นคลอน เปิดทางให้ฝ่ายตนบุกเก็บชัยชนะได้ง่าย,ระหว่างสมรภูมิบนสะพานไม้ เตียวเลี่ยงหัวหน้าหน่วยหลักของศัตรู กำลังตีกระหน่ำกองทัพศกก๊กจนแตก เขาจึงส่งสัญญาณถอนกำลังเหนือสะพาน ทำให้กำลังรับเสริมทั้งกองทะลักข้ามสะพาน พอหัวหน้าพรรคจัดกำลังไม่ทัน เตียวเลี่ยงสั่งให้ซุ่มกำลังล้อมกลางสะพาน ก่อนจะจับเป็นเชลยทิ้งสะพาน,การโจมตีหัวหน้าหน่วยบนสะพานทำให้ทหารที่ตามมาข้ามสะพานเข้ามาใหม่ไม่มีที่หลบและถูกล้อมรวบเป็นเชลย การใช้จุดยุทธศาสตร์บนสะพานทำให้ควบคุมการเคลื่อนพล
ถอนฟืนใต้กระทะ,ติดพัน,"หมายถึงการวิเคราะห์เปรียบเทียบกำลังของศัตรูในการทำศึกสงคราม ถ้ากองทัพพินิจน้อยว่าควรพึงหาทางบั่นทอนขวัญและกำลังใจ ความเหิมเกริมของศัตรูให้ลดน้อยถอยลง คัมภีร์อี๋จิงกล่าวว่า ""ดุจฟ้าอยู่เหนือน้ำ"" โดยคำว่า ""น้ำ"" หมายถึงความแข็งแกร่ง คำว่า ""ฟ้า"" หมายถึงความอ่อนแอ เมื่อรวมกันแล้ว ""ดุจฟ้าอยู่เหนือน้ำ"" หมายความถึงความอ่อนชนะความแข็ง คือการพึงใช้วิธีอ่อนพิชิตแข็ง ฉวยจังหวะและโอกาสในการทำลายกองทัพส่วนหนึ่งของศัตรูให้แตกพ่ายย่อยยับในภายหลัง",การนำเอากลยุทธ์ถอนฟืนใต้กระทะไปใช้ได้แก่ เกียงอุยที่วางกลอุบายให้สุมาเจียวหลงเชื่อว่าเตงงายคิดหมายตั้งตนเองเป็นใหญ่และสั่งให้จับไปฆ่า,"ในสถานการณ์นี้ เกียงอุยได้นำกลยุทธ์ “ถอนฟืนใต้กระทะ” มาใช้โดยแอบปลูกฝังความระแวงให้สุมาเจียวเชื่อว่าเตงงายหวังจะแย่งอำนาจและกำลังสั่งให้เขาตกเป็นผู้ต้องหาก่อนศึกใหญ่ เมื่อความไว้เนื้อเชื่อใจกันสั่นคลอน สุมาเจียวจึงต้องระวังตัวจนไม่กล้าประสานกำลังกับเตงงายเต็มที่ กองทัพวุยก๊กจึงอ่อนกำลังลง เกียงอุยจึงฉวยโอกาสบั่นทอนขวัญและความเข้มแข็งของข้าศึกทีละน้อยจนในที่สุดยากจะตั้งรับได้ตามหลักของ “ถอนฟืนใต้กระทะ” ที่เน้นใช้ความอ่อนพิชิตความแข็งอย่างชาญฉลาดครับ
"
ถอนฟืนใต้กระทะ,ติดพัน,การพินิจดูความแข็งแรงของศัตรู เปรียบเสมือน “ฟ้าเหนือผืนน้ำ” ใช้วิธีอ่อนพิชิตแข็ง โดยบั่นทอนเส้นทางสนับสนุนหลัก หรือลดทอนขวัญกำลังของฝ่ายตรงข้ามก่อน จึงค่อยโจมตีจุดอ่อนให้แตกพ่ายย่อยยับภายหลัง,กองทัพเราแอบลอบตัดเส้นทางลำเลียงเสบียงของศัตรูผ่านแนวดงทุ่ง เมื่อเสบียงขาดกำลังพลเหนื่อยล้า ลมปากทะเลาะในหมู่แม่ทัพเรื่องอาหารระหว่างบ่ายวันหนึ่ง ฝ่ายเราจึงยกพลซุ่มตีค่ายพักรบกลางคืนจนแตกกระเจิง,การตัดเสบียงบั่นทอนกำลังใจและความสั่นคลอนในหมู่แม่ทัพ ทำให้ศัตรูอ่อนเพลีย-สับสน ตอบโต้ไม่ทันเมื่อทัพหลักของเราซ้ำเข้าโจมตี
ถอนฟืนใต้กระทะ,ติดพัน,การพินิจดูความแข็งแรงของศัตรู เปรียบเสมือน “ฟ้าเหนือผืนน้ำ” ใช้วิธีอ่อนพิชิตแข็ง โดยบั่นทอนเส้นทางสนับสนุนหลัก หรือลดทอนขวัญกำลังของฝ่ายตรงข้ามก่อน จึงค่อยโจมตีจุดอ่อนให้แตกพ่ายย่อยยับภายหลัง,เราส่งสาส์นปลอมว่ามีการสังเกตการณ์ทางอากาศด้วยหอกสะท้อนแสงจากยอดเขา ฝ่ายศัตรูจึงย้ายหอคอยสังเกตการณ์และเวรยามออกไปตรวจสอบทั่วทุ่ง ส่งผลให้ปราการข้างค่ายซึ่งเป็นแหล่งซ่อมอาวุธและพักพลไร้การเฝ้า ฝ่ายเราจึงยกทัพเข้ายึดและทำลายคลังอาวุธจนไม่สามารถซ่อมแซมได้ทัน,การหลอกเบี่ยงเวรยามออกจากฐานซ่อมอาวุธ ทำให้ศัตรูขาดแหล่งซ่อมบำรุง จึงอ่อนแอเมื่อปะทะอีกครั้ง
ถอนฟืนใต้กระทะ,ติดพัน,การพินิจดูความแข็งแรงของศัตรู เปรียบเสมือน “ฟ้าเหนือผืนน้ำ” ใช้วิธีอ่อนพิชิตแข็ง โดยบั่นทอนเส้นทางสนับสนุนหลัก หรือลดทอนขวัญกำลังของฝ่ายตรงข้ามก่อน จึงค่อยโจมตีจุดอ่อนให้แตกพ่ายย่อยยับภายหลัง,ขณะสงบศึก ราชสำนักศัตรูจัดงานเลี้ยงฉลองทหาร กลางงานเราส่งคนลักลอบโรยสารทำให้นายทหารกองหน้าเกิดคลื่นไส้ หมดสติชั่วคราว เสบียงสำรองจึงไม่ถูกนำมาใช้ในสนามรบ เมื่อศัตรูโกลาหลไร้กำลังซ่อมบำรุง ฝ่ายเรายกพลเข้าปราบปรามทันที,การใช้สารทำให้ทหารคลื่นไส้ลดประสิทธิภาพ กำลังใจสั่นคลอน ไม่สามารถเข้ารบเต็มที่เมื่อต้องเผชิญทัพหลักของเรา
ถอนฟืนใต้กระทะ,ติดพัน,การพินิจดูความแข็งแรงของศัตรู เปรียบเสมือน “ฟ้าเหนือผืนน้ำ” ใช้วิธีอ่อนพิชิตแข็ง โดยบั่นทอนเส้นทางสนับสนุนหลัก หรือลดทอนขวัญกำลังของฝ่ายตรงข้ามก่อน จึงค่อยโจมตีจุดอ่อนให้แตกพ่ายย่อยยับภายหลัง,พระราชินีศัตรูส่งคำสั่งลดกองกำลังรักษาชายแดนเพื่อเสริมกองรับภายในเมือง ฝ่ายเราจึงลอบส่งหน่วยเบาลัดผ่านชายแดนลอบเผาทำลายเสบียงในหมู่บ้านเล็ก กลางดึกเปิดไฟสัญญาณประหาร “กองกำลังสำรอง” ของศัตรูจึงไม่กล้าลงมาเก็บเสบียง ทำให้พวกเขาขาดเสบียงก่อนที่กองทัพหลักของเราจะเข้าตี,การสังหารทรัพยากรสำรองบั่นทอนความมั่นใจและขวัญกำลัง สร้างความไม่แน่นอนในหมู่ทหาร ว่าจะมีอาวุธและอาหารพอใช้งานหรือไม่
ถอนฟืนใต้กระทะ,ติดพัน,การพินิจดูความแข็งแรงของศัตรู เปรียบเสมือน “ฟ้าเหนือผืนน้ำ” ใช้วิธีอ่อนพิชิตแข็ง โดยบั่นทอนเส้นทางสนับสนุนหลัก หรือลดทอนขวัญกำลังของฝ่ายตรงข้ามก่อน จึงค่อยโจมตีจุดอ่อนให้แตกพ่ายย่อยยับภายหลัง,ฝ่ายเราปล่อยข่าวลือว่าหน่วยพิฆาตเฉพาะกิจเข้าประชิดค่ายกลางคืน ศัตรูจึงรัดกุมเวรยามรอบค่ายเต็มที่ ทำให้การลำเลียงน้ำและปูนปั้นป้อมสูญเสีย จนป้อมเริ่มร้าวไม่มั่นคง กลางดึกเราส่งหน่วยปฏิบัติการลับขึ้นสังหารเวรยามและรื้อถอนกำแพงปูน ฝ่ายศัตรูแตกพ่ายก่อนทัพหลักเราจะยกเข้าตีซ้ำ,การหลอกให้เคร่งครัดการเฝ้ายามจนเวรยามสำคัญจัดการน้ำและวัสดุปูนไม่ได้ สร้างจุดอ่อนในโครงสร้างป้อม ทำให้พังง่ายเมื่อถูกตีซ้ำ
กวนน้ำจับปลา,ติดพัน,หมายถึงการรู้จักฉวยจังหวะที่ศัตรูเกิดความปั่นป่วนภายในกองทัพให้เป็นประโยชน์ แย่งชิงเอาผลประโยชน์นั้นมาเป็นของตน นำกำลังทหารบุกเข้าโจมตีเพื่อให้ได้มาซึ่งชัยชนะ การเอาชัยชนะจากศัตรูโดยอาศัยความปั่นป่วนภายในกองทัพเป็นดุจดังพายุฝนที่พัดกระหน่ำในยามค่ำคืน ภูมิประเทศที่ต่ำกว่าก็กักขังน้ำฝนไว้เป็นแอ่ง ธรรมชาติของมนุษย์เมื่อสัมผัสกับไอเย็นและละอองฝนจักเข้าสู่ห้วงนิทรา การเฝ้าระวังเวรยามย่อมหลงละหลวม กองกำลังป้องกันแนวสำคัญย่อมเพิกเฉยต่อหน้าที่ ทำให้สามารถบุกเข้าโจมตีที่ยึดครองได้โดยง่าย,การนำเอากลยุทธ์กวนน้ำจับปลาไปใช้ได้แก่อ้วนเสี้ยวที่วางกลอุบายหลอกใช้กองซุนจ้านในการนำกองกำลังทหารบุกร่วมเข้าโจมตียึดเอาเกงจิ๋วจากฮันฮอก,"ในสถานการณ์นี้ อ้วนเสี้ยวเห็นว่าด่านเกงจิ๋วของฮั่นฮอกกำลังตึงเครียด มีข่าวลือว่าทัพในเมืองกำลังขาดเสบียงและเกิดความระแวงกันเอง ยูนิตกองซุนจ้านจึงถูกอ้วนเสี้ยวหลอกให้ยกกำลังเผชิญหน้าโจมตีด่านเกงจิ๋ว เพื่อให้ฮั่นฮอกโฟกัสป้องกันทางด้านนั้นเต็มที่ ขณะเดียวกันอ้วนเสี้ยวก็ลับแลยกกองทัพหลักอ้อมไปตีทางด้านทิศใต้ซึ่งศัตรูไม่ทันตั้งตัว เมื่อซุนจ้านกระหน่ำโจมตีเบาๆ เหมือน “กวนน้ำให้เกิดกระแส” กำลังป้องกันหลักจึงถูกดึงไปแบ่งกำลังรับมือ พอฮั่นฮอกรีบจัดกำลังไปรับซุนจ้านเต็มที่ อ้วนเสี้ยวก็ฉวยโอกาสนำกองทัพหลักที่ซุ่มคอยอยู่อ้อมหลังบุกเข้าตีด่านเกงจิ๋วจนแตกพ่ายยับเยิน ได้เมืองมาเป็นของตนอย่างง่ายดาย วิธีนี้จึงตรงกับหลักของ “กวนน้ำจับปลา” ที่เน้นใช้ความปั่นป่วนภายในของศัตรูให้เป็นประโยชน์ แล้วฉกฉวยชัยชนะมาได้ตามแผนอย่างแนบเนียน
"
กวนน้ำจับปลา,ติดพัน,การฉวยโอกาสเมื่อศัตรูเกิดความปั่นป่วนภายในกองทัพ เปรียบดังพายุฝนยามค่ำคืนทำให้เวรยามหลับและแนวป้องกันอ่อนแอ จึงรีบนำกำลังบุกเข้าตีเพื่อกวาดเอาผลประโยชน์และชัยชนะมาเป็นของตน,เมื่อข่าวลือว่ามีแม่ทัพระดับรองวางแผนล้มเจ้าปกครองแพร่กระจายในหมู่เวรยาม ทำให้กำลังรักษาป้อมแตกกระจาย ฝ่ายเราจึงยกกำลังลับเข้ายึดป้อมย่อยและเปิดทางให้กองทัพหลักบุกยึดป้อมหลักภายในเช้าวันถัดมา,ข่าวลือล้มเจ้าทำให้เวรยามและกำลังสำรองละหลวม ฝ่ายเราจึงใช้จังหวะซุ่มโจมตีป้อมย่อยและส่งสัญญาณให้กองทัพหลักซ้ำ
กวนน้ำจับปลา,ติดพัน,การฉวยโอกาสเมื่อศัตรูเกิดความปั่นป่วนภายในกองทัพ เปรียบดังพายุฝนยามค่ำคืนทำให้เวรยามหลับและแนวป้องกันอ่อนแอ จึงรีบนำกำลังบุกเข้าตีเพื่อกวาดเอาผลประโยชน์และชัยชนะมาเป็นของตน,ในขณะที่แม่ทัพศัตรูทะเลาะกับผู้บัญชาการเสบียงจนลามปาม เสบียงไม่ถูกส่งมา เวรยามจึงถอนกำลังออกไปช่วยเติมข้าวเต็มโกดัง ฝ่ายเราลอบเข้ายึดคลังเสบียงและตัดเส้นทางลำเลียง ทำให้ทัพศัตรูอดทนไม่ไหวต้องยอมแพ้,การทะเลาะกันในหมู่แม่ทัพทำให้เสบียงขาด เวรยามถอนกำลังออกไปซ่อมบำรุงคลัง ฝ่ายเราจึงอาศัยช่องว่างลอบทำลายคลังและตัดเสบียงจนศัตรูขาดแรง
กวนน้ำจับปลา,ติดพัน,การฉวยโอกาสเมื่อศัตรูเกิดความปั่นป่วนภายในกองทัพ เปรียบดังพายุฝนยามค่ำคืนทำให้เวรยามหลับและแนวป้องกันอ่อนแอ จึงรีบนำกำลังบุกเข้าตีเพื่อกวาดเอาผลประโยชน์และชัยชนะมาเป็นของตน,ฝ่ายเราปล่อยหนูพิษเข้าไปในค่ายศัตรูทำให้ทหารป่วยระนาว จนเวรยามซึ่งต้องดูแลป่วยหนักเพิกเฉยต่อการโจมตีเบื้องหน้า เราจึงสั่งกองทหารเบาลอบขึ้นเชิงเขาฝั่งตะวันตก พลิกวงล้อมค่ายและยึดเมืองทั้งเมืองภายในวันเดียว,การใช้หนูพิษบั่นทอนกำลังใจและลดประสิทธิภาพเวรยาม ทำให้ฝ่ายเราลอบขึ้นเชิงเขาโจมตีค่ายจากจุดที่ไม่มีการเฝ้ายาม
กวนน้ำจับปลา,ติดพัน,การฉวยโอกาสเมื่อศัตรูเกิดความปั่นป่วนภายในกองทัพ เปรียบดังพายุฝนยามค่ำคืนทำให้เวรยามหลับและแนวป้องกันอ่อนแอ จึงรีบนำกำลังบุกเข้าตีเพื่อกวาดเอาผลประโยชน์และชัยชนะมาเป็นของตน,เมื่อกองทัพศัตรูแบ่งฝ่ายกันแย่งชิงตำแหน่งแม่ทัพ เวรยามป้อมหลักต่างถอนกำลังไปช่วยนั่งพิจารณาเหตุผลภายใน ฝ่ายเราจึงส่งหน่วยลับผ่านอุโมงค์ใต้ป้อม ทำลายเครื่องตีระฆังสัญญาณก่อนส่งเสียงโห่กองทัพหลักล้อมยึดป้อมสำเร็จ,การแย่งชิงภายในกองทัพทำให้เวรยามกระจัดกระจาย เราจึงอาศัยช่องทางอุโมงค์ใต้ป้อมเข้าทำลายเครื่องสัญญาณและส่งโห่ให้กองทัพหลักซ้ำ
กวนน้ำจับปลา,ติดพัน,การฉวยโอกาสเมื่อศัตรูเกิดความปั่นป่วนภายในกองทัพ เปรียบดังพายุฝนยามค่ำคืนทำให้เวรยามหลับและแนวป้องกันอ่อนแอ จึงรีบนำกำลังบุกเข้าตีเพื่อกวาดเอาผลประโยชน์และชัยชนะมาเป็นของตน,ฝ่ายเราส่งสาส์นว่ามีกบฏจะตีในคืนเดียวกัน ศัตรูร้องสั่งกระจัดกำลังเวรยามออกไปประจำจุดเสี่ยงทั่วป่าเขา จนป้อมหลักถูกทิ้งว่าง เราจึงนำนายพรานคนสนิทพาปืนซุ่มยิงเวรยาม ทำให้กองทัพหลักเข้ายึดป้อมได้ง่ายดาย,ข่าวลือกบฏบั่นทอนขวัญและกระจายการเฝ้ายาม เราจึงใช้กำลังเบาซุ่มยิงเวรยาม ทำให้ป้อมหลักไร้การป้องกันและถูกทัพหลักบุกยึดทันที
